Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.412232,0.229194,0.244538,1.31304,-0.524278,-0.242835,-0.749329,
-0.412146,0.229043,0.244296,1.31304,-0.524305,-0.24275,-0.749485,
-0.412182,0.228866,0.244101,1.3129,-0.524473,-0.242494,-0.747788,
-0.412013,0.229125,0.244446,1.31324,-0.524707,-0.242704,-0.749902,
-0.41198,0.229001,0.244483,1.31313,-0.524531,-0.24292,-0.749331,
-0.411871,0.228973,0.244717, 1.313,-0.5245,-0.243715,-0.751283,
-0.411872,0.228874,0.244366,1.31309,-0.524301,-0.242896,-0.747334,
-0.41176,0.228764,0.244379,1.31298,-0.524333,-0.243037,-0.747917,
-0.411735,0.22893,0.244791,1.31317,-0.524264,-0.243372,-0.74934,
-0.411441,0.228823,0.244489,1.31327,-0.52417,-0.2433,-0.74853,
-0.411609,0.22857,0.244369,1.31284,-0.524109,-0.243293,-0.746968,
-0.411474,0.228765,0.244658,1.31311,-0.524281,-0.243505,-0.748751,
-0.411391,0.228695,0.244731,1.31311,-0.524229,-0.243722,-0.745729,
-0.411261,0.228823,0.24516, 1.313,-0.524442,-0.244476,-0.750084,
-0.411216,0.2287,0.244844,1.31317,-0.52449,-0.244122,-0.748863,
-0.411097,0.228683,0.244954,1.31288,-0.524317,-0.244353,-0.750234,
-0.410913,0.228976,0.245275,1.31342,-0.524427,-0.244177,-0.749914,
-0.4107,0.228991,0.245195,1.31341,-0.52421,-0.244287,-0.749691,
-0.410983,0.228508,0.244789,1.31293,-0.524271,-0.244169,-0.747424,
-0.410752,0.228935,0.245349,1.31352,-0.524768,-0.244361,-0.749182,
-0.410786,0.228586,0.244933,1.31323,-0.524533,-0.244078,-0.74796,
-0.410611,0.228833,0.245558,1.31328,-0.524834,-0.245073,-0.750724,
-0.410588,0.228587,0.244957,1.31344,-0.524678,-0.244245,-0.747344,
-0.410269,0.228802,0.245138,1.31361,-0.524683,-0.244407,-0.749139,
-0.410229,0.22888,0.245345,1.31372,-0.524499,-0.244536,-0.748473,
-0.410069,0.228919,0.245284,1.31372,-0.524481,-0.24447,-0.74895,
-0.41023,0.228652,0.244994,1.31354,-0.524661,-0.244105,-0.747843,
-0.410113,0.228837,0.245219,1.31375,-0.52469,-0.244276,-0.749408,
-0.410104,0.2287,0.245086,1.31352,-0.524449,-0.244188,-0.747249,
-0.409829,0.228861,0.245291,1.3138,-0.524537,-0.2445,-0.748335,
